"external_id","duplicate_detection","external_name","manufacturer","category","last_update","qty_requested","created_date","source_file","import_date"
"66802008","? Unique","PICOPUMPE 7  20CMX20CM","","Wundversorgung / Dressings","","7","","Product without substitute.csv","2026-05-25"
"66802009","? Unique","PICOPUMPE 7  25CMX25CM","","Wundversorgung / Dressings","","2","","Product without substitute.csv","2026-05-25"
"66802127","? Unique","GAZE, ANTIMIKROBIELLE ROLLE","","Kompressen & Tupfer","","0","","Product without substitute.csv","2026-05-25"
"66801021","? Unique","RENASYS SCHAUMSTOFF","","Wundversorgung / Dressings","","5","","Product without substitute.csv","2026-05-25"
"70003201","? Unique","octenisan Waschhandschuhe INT    8 ST SP","","Handschuhe","","124000","","Product without substitute.csv","2026-05-25"
"7599000016","? Unique","Waschhandschuh, antibakteriell ECO 8 Stk/Pkg","","Handschuhe","","135000","","Product without substitute.csv","2026-05-25"
"454013/0","? Unique","Bauchtücher Telasorb 45x45cm weiß m.RK 4-fach, steril       ","","Kompressen & Tupfer","","18000","","Product without substitute.csv","2026-05-25"
"992138/1","? Unique","OP-Mundschutz Foliodress Comfort Senso grün                 ","","PSA / Schutzkleidung","","8150","","Product without substitute.csv","2026-05-25"
"277509/2","? Unique","Foliodrape Protect Lochtuch 45x75cm, 2-teilig, m.var.Loch   ","","Inkontinenz & Hygiene","","5200","","Product without substitute.csv","2026-05-25"
"277508/3","? Unique","Abdecktuch Protect 75x90cm                                  ","","Inkontinenz & Hygiene","","3520","","Product without substitute.csv","2026-05-25"
"258322/9","? Unique","Saugertasche 43x38cm  1-Kammer                              ","","Sonstige medizinische Produkte","","2880","","Product without substitute.csv","2026-05-25"
"936004/0","? Unique","Klettverschlußband 2,5x14cm                                 ","","Zubehör & Verbrauchsmaterial","","1040","","Product without substitute.csv","2026-05-25"
"938727/3","? Unique","Gynäkologie/Perineal-Set III, Foliodrape Protect            ","","Sets & Kits","","595","","Product without substitute.csv","2026-05-25"
"938716/3","? Unique","Hand-/Fuß-Set III, Protect plus, verstärkt                  ","","Sets & Kits","","480","","Product without substitute.csv","2026-05-25"
"277547/4","? Unique","Abdecktuch Protect  50x50cm                                 ","","Inkontinenz & Hygiene","","400","","Product without substitute.csv","2026-05-25"
"264773/3","? Unique","CS Universal-Set P4 CPT                                     ","","Sets & Kits","","384","","Product without substitute.csv","2026-05-25"
"938714/3","? Unique","Rektum-Set/Abdominal-Perineal-Set VI, Protect plus          ","","Sets & Kits","","280","","Product without substitute.csv","2026-05-25"
"332036/0","? Unique","Idealflexbinde 15cm x 5m                                    ","","Bandagen & Kompression","","270","","Product without substitute.csv","2026-05-25"
"258982/3","? Unique","Stockinette  25x80cm  gerollt                               ","","Sonstige medizinische Produkte","","240","","Product without substitute.csv","2026-05-25"
"938710/3","? Unique","Gyn-Abdominal-Perineal-Set II, Protect plus, verstärkt      ","","Sets & Kits","","200","","Product without substitute.csv","2026-05-25"
"938774/2","? Unique","Extremitäten-Set VII Protect, verstärkt                     ","","Sets & Kits","","200","","Product without substitute.csv","2026-05-25"
"277548/5","? Unique","Abdecktuch Protect  150x175cm                               ","","Inkontinenz & Hygiene","","200","","Product without substitute.csv","2026-05-25"
"264943/4","? Unique","CS Hüft-Set P4 CPT                                          ","","Sets & Kits","","160","","Product without substitute.csv","2026-05-25"
"262493/4","? Unique","CS Sectio-Set, Sectio-Combi P3 CPT                          ","","Sets & Kits","","141","","Product without substitute.csv","2026-05-25"
"938705/3","? Unique","Vertikaltuch-Set II, Foliodrape Protect                     ","","Sets & Kits","","112","","Product without substitute.csv","2026-05-25"
"981690/3","? Unique","Bacillol 30 Sensitive Foam 750ml, mit Sprühkopf             ","","Desinfektion & Hygiene","","96","","Product without substitute.csv","2026-05-25"
"264941/3","? Unique","CS Rektum-Set P4 CPT                                        ","","Sets & Kits","","96","","Product without substitute.csv","2026-05-25"
"277538/5","? Unique","Abdecktuch Protect  170x300cm                               ","","Inkontinenz & Hygiene","","88","","Product without substitute.csv","2026-05-25"
"932533/6","? Unique","Leibbandage Verba Gr.3  (Umfang 85-95cm)                    ","","Bandagen & Kompression","","85","","Product without substitute.csv","2026-05-25"
"938703/3","? Unique","Knie/Arthroskopie-Set IV, Protect mit Auffangbeutel         ","","Sets & Kits","","84","","Product without substitute.csv","2026-05-25"
"932534/6","? Unique","Leibbandage Verba Gr.4 (Umfang 95-105cm)                    ","","Bandagen & Kompression","","75","","Product without substitute.csv","2026-05-25"
"938854/2","? Unique","OP-Hockerbezug 40x25cm                                      ","","Sonstige medizinische Produkte","","66","","Product without substitute.csv","2026-05-25"
"264942/2","? Unique","CS Schlitztuch-Set P4 CPT                                   ","","Sets & Kits","","64","","Product without substitute.csv","2026-05-25"
"264772/4","? Unique","CS Knie-Set P2 CPT                                          ","","Sets & Kits","","64","","Product without substitute.csv","2026-05-25"
"981370/3","? Unique","Bode X-Wipes Spender blau                                   ","","Zubehör & Verbrauchsmaterial","","60","","Product without substitute.csv","2026-05-25"
"932535/6","? Unique","Leibbandage Verba Gr.5 (Umfang 105-115cm)                   ","","Bandagen & Kompression","","55","","Product without substitute.csv","2026-05-25"
